Epoch,Precision_Class_0,Precision_Class_1,Precision_Class_2,Precision_Class_3,Precision_Class_4,Precision_Class_5,Precision_Class_6,Precision_Class_7,Precision_Class_8,Precision_Class_9,Precision_Class_10,Precision_Class_11,Precision_Class_12,Precision_Class_13,Precision_Class_14,Precision_Class_15,Precision_Class_16,Precision_Class_17,Precision_Class_18,Precision_Class_19,Precision_Class_20,Precision_Class_21,Precision_Class_22,Precision_Class_23,Precision_Class_24,Precision_Class_25,Precision_Class_26,Precision_Class_27,Precision_Class_28,Recall_Class_0,Recall_Class_1,Recall_Class_2,Recall_Class_3,Recall_Class_4,Recall_Class_5,Recall_Class_6,Recall_Class_7,Recall_Class_8,Recall_Class_9,Recall_Class_10,Recall_Class_11,Recall_Class_12,Recall_Class_13,Recall_Class_14,Recall_Class_15,Recall_Class_16,Recall_Class_17,Recall_Class_18,Recall_Class_19,Recall_Class_20,Recall_Class_21,Recall_Class_22,Recall_Class_23,Recall_Class_24,Recall_Class_25,Recall_Class_26,Recall_Class_27,Recall_Class_28,F1_Class_0,F1_Class_1,F1_Class_2,F1_Class_3,F1_Class_4,F1_Class_5,F1_Class_6,F1_Class_7,F1_Class_8,F1_Class_9,F1_Class_10,F1_Class_11,F1_Class_12,F1_Class_13,F1_Class_14,F1_Class_15,F1_Class_16,F1_Class_17,F1_Class_18,F1_Class_19,F1_Class_20,F1_Class_21,F1_Class_22,F1_Class_23,F1_Class_24,F1_Class_25,F1_Class_26,F1_Class_27,F1_Class_28
1,0.46105020196191576,0.1370757180156658,0.11496062992125984,0.1220472440944882,0.09963768115942029,0.08490566037735849,0.07373271889400922,0.035,0.05825242718446602,0.040145985401459854,0.02857142857142857,0.014705882352941176,0.024193548387096774,0.0,0.0,0.0,0.0,0.006711409395973154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3728418105459636,0.13157894736842105,0.11774193548387096,0.1099290780141844,0.09197324414715718,0.08759124087591241,0.0893854748603352,0.09427609427609428,0.0449438202247191,0.05913978494623656,0.020618556701030927,0.01639344262295082,0.044444444444444446,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41228070175438597,0.13427109974424553,0.11633466135458168,0.11567164179104478,0.09565217391304348,0.08622754491017964,0.08080808080808081,0.05104831358249772,0.0507399577167019,0.04782608695652174,0.023952095808383235,0.015503875968992248,0.031331592689295036,0.0,0.0,0.0,0.0,0.0091324200913242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.8075539568345323,0.21775544388609716,0.3006134969325153,0.2621184919210054,0.23850267379679144,0.19646799116997793,0.16597510373443983,0.09016393442622951,0.12072892938496584,0.07901234567901234,0.05907172995780591,0.0,0.056162246489859596,0.05142857142857143,0.029850746268656716,0.05660377358490566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6285580961269249,0.16290726817042606,0.23709677419354838,0.25886524822695034,0.3729096989966555,0.21654501216545013,0.11173184357541899,0.037037037037037035,0.19850187265917604,0.17204301075268819,0.14432989690721648,0.0,0.26666666666666666,0.07964601769911504,0.018518518518518517,0.03488372093023256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7069010758331147,0.1863799283154122,0.2651036970243463,0.2604817127564674,0.29093281148075667,0.20601851851851852,0.1335559265442404,0.05250596658711217,0.1501416430594901,0.10829103214890017,0.08383233532934131,0.0,0.09278350515463918,0.0625,0.022857142857142857,0.04316546762589928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.8649940262843488,0.281767955801105,0.2905982905982906,0.28975265017667845,0.24399126001456664,0.2073490813648294,0.17318435754189945,0.15165876777251186,0.10690423162583519,0.10050251256281408,0.25,0.07142857142857142,0.04365904365904366,0.045454545454545456,0.0,0.011904761904761904,0.0,0.14285714285714285,0.0,0.017857142857142856,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.6756882874475035,0.19172932330827067,0.32903225806451614,0.2907801418439716,0.560200668896321,0.1922141119221411,0.17318435754189945,0.10774410774410774,0.1797752808988764,0.10752688172043011,0.010309278350515464,0.02459016393442623,0.15555555555555556,0.017699115044247787,0.0,0.011627906976744186,0.0,0.014285714285714285,0.0,0.030303030303030304,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.7587110296044014,0.22818791946308725,0.3086232980332829,0.2902654867256637,0.33992897006595635,0.1994949494949495,0.17318435754189945,0.12598425196850394,0.1340782122905028,0.1038961038961039,0.019801980198019802,0.036585365853658534,0.06818181818181818,0.025477707006369428,0.0,0.011764705882352941,0.0,0.025974025974025976,0.0,0.02247191011235955,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0
4,0.8682899833978971,0.26576576576576577,0.30124777183600715,0.30397236614853196,0.2478173270651444,0.22340425531914893,0.17832957110609482,0.14233576642335766,0.11483253588516747,0.0673076923076923,0.023809523809523808,0.036585365853658534,0.05188679245283019,0.12903225806451613,0.05202312138728324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.732151189920672,0.14786967418546365,0.2725806451612903,0.3120567375886525,0.617056856187291,0.25547445255474455,0.2206703910614525,0.13131313131313133,0.0898876404494382,0.03763440860215054,0.010309278350515464,0.02459016393442623,0.16296296296296298,0.035398230088495575,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.7944303797468354,0.19001610305958133,0.28619813717188824,0.3079615048118985,0.35361763296597987,0.2383654937570942,0.1972534332084894,0.13660245183887915,0.10084033613445378,0.04827586206896552,0.014388489208633094,0.029411764705882353,0.07871198568872988,0.05555555555555555,0.06405693950177936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03076923076923077,0.0,0.0,0.0,0.0,0.0
5,0.8670922809053976,0.2851485148514851,0.3504424778761062,0.2947019867549669,0.2615089514066496,0.22038567493112948,0.16116504854368932,0.13372093023255813,0.13541666666666666,0.10365853658536585,0.0392156862745098,0.03508771929824561,0.05870020964360587,0.07692307692307693,0.0392156862745098,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6971535230984601,0.18045112781954886,0.3193548387096774,0.31560283687943264,0.6839464882943144,0.19464720194647203,0.23184357541899442,0.07744107744107744,0.14606741573033707,0.0913978494623656,0.020618556701030927,0.01639344262295082,0.2074074074074074,0.008849557522123894,0.018518518518518517,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7728918779099845,0.2210283960092095,0.3341772151898734,0.3047945205479452,0.37835337650323775,0.20671834625322996,0.19014891179839633,0.09808102345415778,0.14054054054054055,0.09714285714285714,0.02702702702702703,0.0223463687150838,0.0915032679738562,0.015873015873015872,0.025157232704402517,0.0,0.0,0.01834862385321101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.870810481413772,0.3776435045317221,0.33275862068965517,0.30642201834862387,0.34648581997533906,0.21920289855072464,0.13962264150943396,0.15501519756838905,0.20891364902506965,0.0784313725490196,0.06792452830188679,0.05454545454545454,0.05410821643286573,0.046511627906976744,0.034482758620689655,0.1111111111111111,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6668222118525432,0.15664160401002505,0.31129032258064515,0.29609929078014185,0.4698996655518395,0.2944038929440389,0.10335195530726257,0.1717171717171717,0.5617977528089888,0.10752688172043011,0.18556701030927836,0.07377049180327869,0.2,0.017699115044247787,0.018518518518518517,0.06976744186046512,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7552854122621564,0.22143489813994685,0.32166666666666666,0.3011722272317403,0.3988644428672818,0.2512980269989616,0.1187800963081862,0.16293929712460065,0.30456852791878175,0.09070294784580499,0.09944751381215469,0.0627177700348432,0.08517350157728706,0.02564102564102564,0.024096385542168676,0.08571428571428572,0.0,0.06349206349206349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.8869300911854103,0.46685082872928174,0.34593572778827975,0.2900763358778626,0.34056761268781305,0.2505800464037123,0.16040955631399317,0.1865671641791045,0.2328125,0.12571428571428572,0.06986899563318777,0.09271523178807947,0.07751937984496124,0.0,0.05952380952380952,0.010526315789473684,0.046511627906976744,0.10869565217391304,0.13157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6808212785814279,0.21177944862155387,0.29516129032258065,0.40425531914893614,0.3411371237458194,0.26277372262773724,0.13128491620111732,0.16835016835016836,0.5580524344569289,0.11827956989247312,0.32989690721649484,0.11475409836065574,0.2962962962962963,0.0,0.046296296296296294,0.011627906976744186,0.03636363636363636,0.07142857142857142,0.09615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7703273495248152,0.2913793103448276,0.3185378590078329,0.3377777777777778,0.3408521303258145,0.25653206650831356,0.1443932411674347,0.17699115044247787,0.32855567805953695,0.12188365650969529,0.11531531531531532,0.10256410256410256,0.1228878648233487,0.0,0.052083333333333336,0.011049723756906077,0.04081632653061224,0.08620689655172414,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.9388280746941404,0.49382716049382713,0.36046511627906974,0.31691919191919193,0.37280701754385964,0.26652452025586354,0.17522658610271905,0.19318181818181818,0.2678260869565217,0.12941176470588237,0.057971014492753624,0.07731958762886598,0.14559386973180077,0.0,0.05921052631578947,0.09411764705882353,0.0661764705882353,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6803546430237984,0.15037593984962405,0.3,0.4450354609929078,0.568561872909699,0.30413625304136255,0.16201117318435754,0.22895622895622897,0.5767790262172284,0.05913978494623656,0.041237113402061855,0.12295081967213115,0.562962962962963,0.0,0.08333333333333333,0.18604651162790697,0.16363636363636364,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.788961038961039,0.23054755043227665,0.3274647887323944,0.3702064896755162,0.4503311258278146,0.2840909090909091,0.1683599419448476,0.20955315870570107,0.3657957244655582,0.08118081180811808,0.04819277108433735,0.0949367088607595,0.2313546423135464,0.0,0.06923076923076923,0.125,0.09424083769633508,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.9572815533980582,0.48771929824561405,0.33480825958702065,0.34067796610169493,0.3880926130099228,0.25,0.17666666666666667,0.19811320754716982,0.2800658978583196,0.07975460122699386,0.08823529411764706,0.1597222222222222,0.1637323943661972,0.0,0.12658227848101267,0.09401709401709402,0.07142857142857142,0.05263157894736842,0.0625,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6901539897340178,0.17418546365914786,0.36612903225806454,0.35638297872340424,0.5886287625418061,0.2822384428223844,0.14804469273743018,0.21212121212121213,0.6367041198501873,0.06989247311827956,0.061855670103092786,0.1885245901639344,0.6888888888888889,0.0,0.2777777777777778,0.12790697674418605,0.05454545454545454,0.04285714285714286,0.019230769230769232,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8020607375271149,0.2566943674976916,0.349768875192604,0.3483535528596187,0.4677740863787375,0.2651428571428571,0.16109422492401215,0.2048780487804878,0.3890160183066362,0.07449856733524356,0.07272727272727272,0.17293233082706766,0.26458036984352773,0.0,0.17391304347826086,0.10837438423645321,0.061855670103092786,0.047244094488188976,0.029411764705882353,0.03007518796992481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.9622302158273381,0.5291828793774319,0.36063218390804597,0.36850152905198774,0.3967391304347826,0.236,0.1902654867256637,0.2057877813504823,0.301498127340824,0.06779661016949153,0.04878048780487805,0.09285714285714286,0.2245762711864407,0.0,0.15162454873646208,0.1450381679389313,0.07142857142857142,0.053763440860215055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7489500699953336,0.17042606516290726,0.40483870967741936,0.42730496453900707,0.6103678929765887,0.2871046228710462,0.12011173184357542,0.21548821548821548,0.602996254681648,0.043010752688172046,0.020618556701030927,0.10655737704918032,0.7851851851851852,0.0,0.3888888888888889,0.22093023255813954,0.10909090909090909,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8422986092889005,0.25781990521327014,0.38145896656534956,0.3957307060755337,0.48089591567852435,0.25905598243688255,0.14726027397260275,0.21052631578947367,0.4019975031210986,0.05263157894736842,0.028985507246376812,0.09923664122137404,0.34925864909390447,0.0,0.21818181818181817,0.17511520737327188,0.08633093525179857,0.06134969325153374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.9649014778325123,0.5573770491803278,0.3414285714285714,0.3362637362637363,0.41151685393258425,0.21818181818181817,0.18991097922848665,0.18543046357615894,0.2925531914893617,0.09134615384615384,0.07874015748031496,0.11538461538461539,0.2082514734774067,0.0,0.14052287581699346,0.14705882352941177,0.07216494845360824,0.05555555555555555,0.0,0.011764705882352941,0.1111111111111111,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.731217918805413,0.17042606516290726,0.38548387096774195,0.2712765957446808,0.4899665551839465,0.26277372262773724,0.1787709497206704,0.18855218855218855,0.6179775280898876,0.10215053763440861,0.10309278350515463,0.14754098360655737,0.7851851851851852,0.0,0.39814814814814814,0.11627906976744186,0.12727272727272726,0.15714285714285714,0.0,0.030303030303030304,0.034482758620689655,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8319617732943987,0.26103646833013433,0.3621212121212121,0.30029440628066734,0.44732824427480916,0.23841059602649006,0.1841726618705036,0.18697829716193656,0.3971119133574007,0.09644670050761421,0.08928571428571429,0.12949640287769784,0.32919254658385094,0.0,0.20772946859903382,0.12987012987012986,0.09210526315789473,0.08208955223880597,0.0,0.01694915254237288,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.9698581560283688,0.5202952029520295,0.37037037037037035,0.3739130434782609,0.41948051948051945,0.246,0.17040358744394618,0.2152777777777778,0.2751842751842752,0.11688311688311688,0.07975460122699386,0.10775862068965517,0.22737306843267108,0.0,0.17269076305220885,0.14367816091954022,0.12844036697247707,0.07692307692307693,0.0,0.0392156862745098,0.07142857142857142,0.07042253521126761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7657489500699953,0.17669172932330826,0.3709677419354839,0.4574468085106383,0.540133779264214,0.29927007299270075,0.10614525139664804,0.20875420875420875,0.41947565543071164,0.0967741935483871,0.13402061855670103,0.20491803278688525,0.762962962962963,0.0,0.39814814814814814,0.29069767441860467,0.2545454545454545,0.07142857142857142,0.0,0.06060606060606061,0.06896551724137931,0.22727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8558018252933507,0.2637979420018709,0.370668815471394,0.41148325358851673,0.4722222222222222,0.270032930845225,0.13080895008605853,0.21196581196581196,0.3323442136498516,0.10588235294117647,0.1,0.14124293785310735,0.35034013605442177,0.0,0.24089635854341737,0.19230769230769232,0.17073170731707318,0.07407407407407407,0.0,0.047619047619047616,0.07017543859649122,0.10752688172043011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.9663461538461539,0.5387755102040817,0.35121951219512193,0.3591905564924115,0.4275766016713092,0.2515463917525773,0.16862745098039217,0.2009132420091324,0.33156498673740054,0.1336206896551724,0.09289617486338798,0.13688212927756654,0.23644251626898047,0.0,0.20306513409961685,0.18487394957983194,0.11170212765957446,0.041666666666666664,0.2,0.0,0.052083333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7503499766682221,0.16541353383458646,0.34838709677419355,0.3776595744680851,0.5133779264214047,0.29683698296836986,0.12011173184357542,0.14814814814814814,0.4681647940074906,0.16666666666666666,0.17525773195876287,0.29508196721311475,0.8074074074074075,0.0,0.49074074074074076,0.2558139534883721,0.38181818181818183,0.04285714285714286,0.038461538461538464,0.0,0.1724137931034483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8447596532702916,0.25311601150527324,0.3497975708502024,0.3681936041486603,0.46656534954407297,0.27232142857142855,0.1402936378466558,0.17054263565891473,0.38819875776397517,0.14832535885167464,0.12142857142857143,0.18701298701298702,0.36577181208053694,0.0,0.2872628726287263,0.2146341463414634,0.1728395061728395,0.04225352112676056,0.06451612903225806,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.970873786407767,0.5674603174603174,0.3791348600508906,0.3565459610027855,0.4591549295774648,0.2679738562091503,0.1951219512195122,0.23893805309734514,0.3148148148148148,0.12213740458015267,0.07909604519774012,0.1534090909090909,0.2722772277227723,0.0,0.22180451127819548,0.23931623931623933,0.13450292397660818,0.10344827586206896,0.3333333333333333,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7932804479701353,0.17919799498746866,0.2403225806451613,0.45390070921985815,0.5451505016722408,0.39902676399026765,0.11173184357541899,0.18181818181818182,0.44569288389513106,0.17204301075268819,0.14432989690721648,0.4426229508196721,0.8148148148148148,0.0,0.5462962962962963,0.32558139534883723,0.41818181818181815,0.04285714285714286,0.038461538461538464,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8731381612737545,0.2723809523809524,0.29417571569595263,0.3993759750390016,0.4984709480122324,0.3206256109481916,0.14209591474245115,0.20650095602294455,0.3689922480620155,0.14285714285714285,0.10218978102189781,0.22784810126582278,0.40816326530612246,0.0,0.3155080213903743,0.27586206896551724,0.20353982300884957,0.06060606060606061,0.06896551724137931,0.0,0.028169014084507043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.9665911664779162,0.5381679389312977,0.38193018480492813,0.3477051460361613,0.43249427917620137,0.2505353319057816,0.17080745341614906,0.23243243243243245,0.3377659574468085,0.15625,0.112,0.1532258064516129,0.3054054054054054,0.16666666666666666,0.18834080717488788,0.28448275862068967,0.10880829015544041,0.038461538461538464,0.1956521739130435,0.010416666666666666,0.10465116279069768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7965468968735417,0.17669172932330826,0.3,0.4432624113475177,0.6321070234113713,0.2846715328467153,0.15363128491620112,0.1447811447811448,0.4756554307116105,0.16129032258064516,0.14432989690721648,0.3114754098360656,0.837037037037037,0.008849557522123894,0.3888888888888889,0.38372093023255816,0.38181818181818183,0.014285714285714285,0.17307692307692307,0.030303030303030304,0.3103448275862069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8733691481197237,0.2660377358490566,0.33604336043360433,0.3897116134060795,0.5135869565217391,0.26651480637813213,0.16176470588235295,0.17842323651452283,0.39502332814930013,0.15873015873015872,0.12612612612612611,0.20540540540540542,0.44752475247524753,0.01680672268907563,0.2537764350453172,0.32673267326732675,0.1693548387096774,0.020833333333333332,0.1836734693877551,0.015503875968992248,0.1565217391304348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
