Epoch,Precision_Class_0,Precision_Class_1,Precision_Class_2,Precision_Class_3,Precision_Class_4,Precision_Class_5,Precision_Class_6,Precision_Class_7,Precision_Class_8,Precision_Class_9,Precision_Class_10,Precision_Class_11,Precision_Class_12,Precision_Class_13,Precision_Class_14,Precision_Class_15,Precision_Class_16,Precision_Class_17,Precision_Class_18,Precision_Class_19,Precision_Class_20,Precision_Class_21,Precision_Class_22,Precision_Class_23,Precision_Class_24,Precision_Class_25,Precision_Class_26,Precision_Class_27,Precision_Class_28,Recall_Class_0,Recall_Class_1,Recall_Class_2,Recall_Class_3,Recall_Class_4,Recall_Class_5,Recall_Class_6,Recall_Class_7,Recall_Class_8,Recall_Class_9,Recall_Class_10,Recall_Class_11,Recall_Class_12,Recall_Class_13,Recall_Class_14,Recall_Class_15,Recall_Class_16,Recall_Class_17,Recall_Class_18,Recall_Class_19,Recall_Class_20,Recall_Class_21,Recall_Class_22,Recall_Class_23,Recall_Class_24,Recall_Class_25,Recall_Class_26,Recall_Class_27,Recall_Class_28,F1_Class_0,F1_Class_1,F1_Class_2,F1_Class_3,F1_Class_4,F1_Class_5,F1_Class_6,F1_Class_7,F1_Class_8,F1_Class_9,F1_Class_10,F1_Class_11,F1_Class_12,F1_Class_13,F1_Class_14,F1_Class_15,F1_Class_16,F1_Class_17,F1_Class_18,F1_Class_19,F1_Class_20,F1_Class_21,F1_Class_22,F1_Class_23,F1_Class_24,F1_Class_25,F1_Class_26,F1_Class_27,F1_Class_28
1,0.8949720670391061,0.39322033898305087,0.4543859649122807,0.4942528735632184,0.39211136890951276,0.2561247216035635,0.188,0.1837837837837838,0.239067055393586,0.22712933753943218,0.07746478873239436,0.06358381502890173,0.20727272727272728,0.08333333333333333,0.10476190476190476,0.11818181818181818,0.1310344827586207,0.03409090909090909,0.07954545454545454,0.03125,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7650429799426934,0.13567251461988303,0.4288079470198676,0.3719723183391003,0.32007575757575757,0.2882205513784461,0.1284153005464481,0.21794871794871795,0.36607142857142855,0.5,0.07971014492753623,0.29464285714285715,0.5876288659793815,0.03,0.12087912087912088,0.30952380952380953,0.2676056338028169,0.04477611940298507,0.17073170731707318,0.041666666666666664,0.25925925925925924,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8249227600411947,0.20173913043478262,0.44122657580919933,0.4244817374136229,0.3524504692387904,0.27122641509433965,0.1525974025974026,0.19941348973607037,0.2892416225749559,0.3123644251626898,0.07857142857142857,0.1045958795562599,0.3064516129032258,0.04411764705882353,0.11224489795918367,0.17105263157894737,0.17592592592592593,0.03870967741935484,0.10852713178294573,0.03571428571428571,0.14432989690721648,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.9565217391304348,0.5652173913043478,0.48502994011976047,0.6289424860853432,0.423728813559322,0.32085561497326204,0.2626728110599078,0.29411764705882354,0.4092526690391459,0.31715210355987056,0.15789473684210525,0.15121951219512195,0.28214285714285714,0.125,0.1631578947368421,0.28662420382165604,0.15765765765765766,0.09574468085106383,0.13559322033898305,0.029850746268656716,0.14492753623188406,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.8615090735434575,0.1216374269005848,0.5364238410596026,0.5865051903114187,0.42613636363636365,0.3007518796992481,0.1557377049180328,0.2403846153846154,0.5133928571428571,0.6805555555555556,0.2608695652173913,0.2767857142857143,0.8144329896907216,0.1,0.34065934065934067,0.5357142857142857,0.49295774647887325,0.13432835820895522,0.3902439024390244,0.08333333333333333,0.37037037037037035,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.9065326633165829,0.20019249278152068,0.5094339622641509,0.6069829901521934,0.42492917847025496,0.31047865459249674,0.1955403087478559,0.26455026455026454,0.45544554455445546,0.4326710816777042,0.19672131147540983,0.19558359621451105,0.41909814323607425,0.1111111111111111,0.2206405693950178,0.37344398340248963,0.23890784982935154,0.11180124223602485,0.20125786163522014,0.04395604395604396,0.20833333333333334,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0
3,0.9615983393876492,0.6415929203539823,0.5121951219512195,0.6576576576576577,0.4297945205479452,0.3422818791946309,0.26605504587155965,0.351931330472103,0.4857142857142857,0.33948339483394835,0.18433179723502305,0.22023809523809523,0.3524590163934426,0.0821917808219178,0.193717277486911,0.3262411347517731,0.1646090534979424,0.06896551724137931,0.13846153846153847,0.022222222222222223,0.13513513513513514,0.14285714285714285,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.8849092645654251,0.1695906432748538,0.5215231788079471,0.6314878892733564,0.4753787878787879,0.38345864661654133,0.15846994535519127,0.26282051282051283,0.53125,0.6388888888888888,0.2898550724637681,0.33035714285714285,0.8865979381443299,0.06,0.4065934065934066,0.5476190476190477,0.5633802816901409,0.11940298507462686,0.43902439024390244,0.041666666666666664,0.37037037037037035,0.08333333333333333,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.9216612782889828,0.2682701202590194,0.51681706316653,0.6443071491615181,0.45143884892086333,0.3617021276595745,0.19863013698630136,0.30091743119266057,0.5074626865671642,0.4433734939759036,0.22535211267605634,0.2642857142857143,0.5043988269794721,0.06936416184971098,0.2624113475177305,0.4088888888888889,0.25477707006369427,0.08743169398907104,0.21052631578947367,0.028985507246376812,0.19801980198019803,0.10526315789473684,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0
4,0.9689601655457838,0.621875,0.5549828178694158,0.6794425087108014,0.4939516129032258,0.3857493857493858,0.3276595744680851,0.3582554517133956,0.5122950819672131,0.35555555555555557,0.23008849557522124,0.23333333333333334,0.45604395604395603,0.15,0.19718309859154928,0.2929936305732484,0.18461538461538463,0.12359550561797752,0.19852941176470587,0.07142857142857142,0.13793103448275862,0.14285714285714285,0.24,0.0,0.2,0.0,0.0,0.0,0.0,0.8944603629417383,0.2327485380116959,0.5347682119205298,0.6747404844290658,0.4640151515151515,0.39348370927318294,0.2103825136612022,0.3685897435897436,0.5580357142857143,0.7777777777777778,0.37681159420289856,0.3125,0.8556701030927835,0.12,0.3076923076923077,0.5476190476190477,0.5070422535211268,0.16417910447761194,0.6585365853658537,0.2916666666666667,0.2962962962962963,0.20833333333333334,0.35294117647058826,0.0,0.375,0.0,0.0,0.0,0.0,0.9302210081946859,0.33872340425531916,0.5446880269814502,0.6770833333333334,0.478515625,0.38957816377171217,0.2562396006655574,0.36334913112164297,0.5341880341880342,0.4880174291938998,0.2857142857142857,0.26717557251908397,0.5949820788530465,0.13333333333333333,0.24034334763948498,0.3817427385892116,0.2706766917293233,0.14102564102564102,0.3050847457627119,0.11475409836065574,0.18823529411764706,0.1694915254237288,0.2857142857142857,0.0,0.2608695652173913,0.0,0.0,0.0,0.0
5,0.9724532224532224,0.6715976331360947,0.5699248120300752,0.6947368421052632,0.4818181818181818,0.3697674418604651,0.34946236559139787,0.4351145038167939,0.6023622047244095,0.39748953974895396,0.32515337423312884,0.23369565217391305,0.5534591194968553,0.09259259259259259,0.23809523809523808,0.4074074074074074,0.20652173913043478,0.10483870967741936,0.21428571428571427,0.072,0.15151515151515152,0.2222222222222222,0.14285714285714285,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.893505253104107,0.2654970760233918,0.6274834437086093,0.6851211072664359,0.5018939393939394,0.39849624060150374,0.17759562841530055,0.36538461538461536,0.6830357142857143,0.6597222222222222,0.38405797101449274,0.38392857142857145,0.9072164948453608,0.1,0.38461538461538464,0.6547619047619048,0.5352112676056338,0.19402985074626866,0.43902439024390244,0.375,0.37037037037037035,0.5,0.29411764705882354,0.0,0.625,0.0,0.0,0.0,0.0,0.9313091090094574,0.38055322715842416,0.5973207249802994,0.6898954703832753,0.49165120593692024,0.3835946924004825,0.23550724637681159,0.397212543554007,0.6401673640167364,0.4960835509138381,0.3521594684385382,0.2905405405405405,0.6875,0.09615384615384616,0.29411764705882354,0.502283105022831,0.2980392156862745,0.13612565445026178,0.288,0.12080536912751678,0.21505376344086022,0.3076923076923077,0.19230769230769232,0.0,0.5,0.0,0.0,0.0,0.0
6,0.9815856777493606,0.6900958466453674,0.5455950540958269,0.7314814814814815,0.516994633273703,0.38095238095238093,0.33490566037735847,0.4180602006688963,0.6495726495726496,0.35793357933579334,0.3372093023255814,0.34,0.5906040268456376,0.16666666666666666,0.29931972789115646,0.43283582089552236,0.23809523809523808,0.1171875,0.1694915254237288,0.05813953488372093,0.16666666666666666,0.15254237288135594,0.25,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.9164278892072588,0.25263157894736843,0.5844370860927153,0.6833910034602076,0.5473484848484849,0.40100250626566414,0.19398907103825136,0.40064102564102566,0.6785714285714286,0.6736111111111112,0.42028985507246375,0.45535714285714285,0.9072164948453608,0.23,0.4835164835164835,0.6904761904761905,0.6338028169014085,0.22388059701492538,0.4878048780487805,0.20833333333333334,0.37037037037037035,0.375,0.17647058823529413,0.0,0.625,0.0,0.0,0.0,0.0,0.9478883674981476,0.3698630136986301,0.5643485211830536,0.7066189624329159,0.531738730450782,0.3907203907203907,0.24567474048442905,0.40916530278232405,0.6637554585152838,0.4674698795180723,0.3741935483870968,0.3893129770992366,0.7154471544715447,0.19327731092436976,0.3697478991596639,0.5321100917431193,0.34615384615384615,0.15384615384615385,0.25157232704402516,0.09090909090909091,0.22988505747126436,0.21686746987951808,0.20689655172413793,0.0,0.5882352941176471,0.0,0.0,0.0,0.0
7,0.9799599198396793,0.7034700315457413,0.5673652694610778,0.7407407407407407,0.5323886639676113,0.4049586776859504,0.36693548387096775,0.43911439114391143,0.6475409836065574,0.39923954372623577,0.3882978723404255,0.28272251308900526,0.551948051948052,0.16847826086956522,0.36666666666666664,0.4015151515151515,0.275,0.13709677419354838,0.24691358024691357,0.22388059701492538,0.2,0.21212121212121213,0.16666666666666666,0.04,0.23076923076923078,0.0,0.0,0.0,0.0,0.9340974212034384,0.2608187134502924,0.6274834437086093,0.6920415224913494,0.4981060606060606,0.3684210526315789,0.24863387978142076,0.3814102564102564,0.7053571428571429,0.7291666666666666,0.5289855072463768,0.48214285714285715,0.8762886597938144,0.31,0.4835164835164835,0.6309523809523809,0.6197183098591549,0.2537313432835821,0.4878048780487805,0.625,0.5185185185185185,0.5833333333333334,0.4117647058823529,0.1,0.375,0.0,0.0,0.0,0.0,0.956479217603912,0.38054607508532423,0.5959119496855346,0.7155635062611807,0.5146771037181996,0.3858267716535433,0.2964169381107492,0.40823327615780447,0.6752136752136753,0.515970515970516,0.44785276073619634,0.3564356435643564,0.6772908366533864,0.21830985915492956,0.41706161137440756,0.49074074074074076,0.38095238095238093,0.17801047120418848,0.32786885245901637,0.32967032967032966,0.28865979381443296,0.3111111111111111,0.23728813559322035,0.05714285714285714,0.2857142857142857,0.0,0.0,0.0,0.0
8,0.9848790322580645,0.7024793388429752,0.5678233438485805,0.7627118644067796,0.5982142857142857,0.4032258064516129,0.42338709677419356,0.4312267657992565,0.6869918699186992,0.4474708171206226,0.42011834319526625,0.32057416267942584,0.6330935251798561,0.22282608695652173,0.38235294117647056,0.48031496062992124,0.3048780487804878,0.21367521367521367,0.24444444444444444,0.1643835616438356,0.2465753424657534,0.30357142857142855,0.13953488372093023,0.4444444444444444,0.3333333333333333,0.0,0.0,0.0,0.0,0.933142311365807,0.2982456140350877,0.5960264900662252,0.7006920415224913,0.5075757575757576,0.43859649122807015,0.28688524590163933,0.3717948717948718,0.7544642857142857,0.7986111111111112,0.5144927536231884,0.5982142857142857,0.9072164948453608,0.41,0.5714285714285714,0.7261904761904762,0.704225352112676,0.373134328358209,0.5365853658536586,0.5,0.6666666666666666,0.7083333333333334,0.35294117647058826,0.4,0.75,0.0,0.0,0.0,0.0,0.9583128984796468,0.4187192118226601,0.5815831987075929,0.7303877366997295,0.5491803278688525,0.42016806722689076,0.34201954397394135,0.3993115318416523,0.7191489361702128,0.57356608478803,0.46254071661237783,0.4174454828660436,0.7457627118644068,0.2887323943661972,0.4581497797356828,0.5781990521327014,0.425531914893617,0.2717391304347826,0.33587786259541985,0.24742268041237114,0.36,0.425,0.2,0.42105263157894735,0.46153846153846156,0.0,0.0,0.0,0.0
9,0.9854563691073219,0.7274939172749392,0.6,0.7880434782608695,0.6129032258064516,0.46080760095011875,0.4857142857142857,0.5,0.7224489795918367,0.5136363636363637,0.42487046632124353,0.33497536945812806,0.6821705426356589,0.28488372093023256,0.475,0.6,0.3181818181818182,0.20491803278688525,0.32941176470588235,0.21875,0.34375,0.3333333333333333,0.24390243902439024,0.23076923076923078,0.5,0.0,1.0,0.0,0.0,0.9383954154727794,0.3497076023391813,0.6556291390728477,0.7525951557093425,0.5397727272727273,0.48621553884711777,0.3251366120218579,0.4166666666666667,0.7901785714285714,0.7847222222222222,0.5942028985507246,0.6071428571428571,0.9072164948453608,0.49,0.6263736263736264,0.8214285714285714,0.6901408450704225,0.373134328358209,0.6829268292682927,0.5833333333333334,0.8148148148148148,0.75,0.5882352941176471,0.3,1.0,0.0,0.5,0.0,0.0,0.9613502935420744,0.47235387045813587,0.6265822784810127,0.7699115044247787,0.5740181268882175,0.47317073170731705,0.3895253682487725,0.45454545454545453,0.7547974413646056,0.6208791208791209,0.4954682779456193,0.43174603174603177,0.7787610619469026,0.3602941176470588,0.5402843601895735,0.6934673366834171,0.43555555555555553,0.26455026455026454,0.4444444444444444,0.3181818181818182,0.4835164835164835,0.46153846153846156,0.3448275862068966,0.2608695652173913,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0
10,0.9858657243816255,0.7562642369020501,0.6228070175438597,0.794392523364486,0.6139240506329114,0.48,0.4804804804804805,0.5080906148867314,0.7272727272727273,0.5555555555555556,0.5,0.44666666666666666,0.6496350364963503,0.30177514792899407,0.4715447154471545,0.5614035087719298,0.33974358974358976,0.24285714285714285,0.3855421686746988,0.18518518518518517,0.38,0.3888888888888889,0.23333333333333334,0.375,0.5,0.0,0.5,0.0,0.0,0.9326647564469914,0.3883040935672515,0.5877483443708609,0.7352941176470589,0.5511363636363636,0.5413533834586466,0.4371584699453552,0.5032051282051282,0.75,0.7638888888888888,0.6594202898550725,0.5982142857142857,0.9175257731958762,0.51,0.6373626373626373,0.7619047619047619,0.7464788732394366,0.5074626865671642,0.7804878048780488,0.625,0.7037037037037037,0.875,0.4117647058823529,0.6,0.75,0.0,0.5,0.0,0.0,0.9585276073619632,0.5131375579598145,0.6047700170357752,0.7637017070979335,0.5808383233532934,0.508833922261484,0.45779685264663805,0.5056360708534622,0.7384615384615385,0.6432748538011696,0.56875,0.5114503816793893,0.7606837606837606,0.379182156133829,0.5420560747663551,0.6464646464646465,0.4669603524229075,0.3285024154589372,0.5161290322580645,0.2857142857142857,0.4935064935064935,0.5384615384615384,0.2978723404255319,0.46153846153846156,0.6,0.0,0.5,0.0,0.0
