Epoch,Precision_Class_0,Precision_Class_1,Precision_Class_2,Precision_Class_3,Precision_Class_4,Precision_Class_5,Precision_Class_6,Precision_Class_7,Precision_Class_8,Precision_Class_9,Precision_Class_10,Precision_Class_11,Precision_Class_12,Precision_Class_13,Precision_Class_14,Precision_Class_15,Precision_Class_16,Precision_Class_17,Precision_Class_18,Precision_Class_19,Precision_Class_20,Precision_Class_21,Precision_Class_22,Precision_Class_23,Precision_Class_24,Precision_Class_25,Precision_Class_26,Precision_Class_27,Precision_Class_28,Recall_Class_0,Recall_Class_1,Recall_Class_2,Recall_Class_3,Recall_Class_4,Recall_Class_5,Recall_Class_6,Recall_Class_7,Recall_Class_8,Recall_Class_9,Recall_Class_10,Recall_Class_11,Recall_Class_12,Recall_Class_13,Recall_Class_14,Recall_Class_15,Recall_Class_16,Recall_Class_17,Recall_Class_18,Recall_Class_19,Recall_Class_20,Recall_Class_21,Recall_Class_22,Recall_Class_23,Recall_Class_24,Recall_Class_25,Recall_Class_26,Recall_Class_27,Recall_Class_28,F1_Class_0,F1_Class_1,F1_Class_2,F1_Class_3,F1_Class_4,F1_Class_5,F1_Class_6,F1_Class_7,F1_Class_8,F1_Class_9,F1_Class_10,F1_Class_11,F1_Class_12,F1_Class_13,F1_Class_14,F1_Class_15,F1_Class_16,F1_Class_17,F1_Class_18,F1_Class_19,F1_Class_20,F1_Class_21,F1_Class_22,F1_Class_23,F1_Class_24,F1_Class_25,F1_Class_26,F1_Class_27,F1_Class_28
1,0.9056811913954771,0.28720626631853785,0.29079159935379645,0.34968017057569295,0.40643863179074446,0.1464968152866242,0.14608695652173914,0.2807017543859649,0.18024691358024691,0.05,0.09950248756218906,0.10032362459546926,0.19658119658119658,0.01818181818181818,0.10497237569060773,0.2012987012987013,0.09386281588447654,0.034482758620689655,0.08045977011494253,0.0,0.08695652173913043,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.7841451766953199,0.1286549707602339,0.2980132450331126,0.2837370242214533,0.38257575757575757,0.05764411027568922,0.22950819672131148,0.20512820512820512,0.32589285714285715,0.034722222222222224,0.14492753623188406,0.2767857142857143,0.711340206185567,0.01,0.2087912087912088,0.36904761904761907,0.36619718309859156,0.014925373134328358,0.17073170731707318,0.0,0.07407407407407407,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.840542615817763,0.1777059773828756,0.294358135731807,0.3132760267430755,0.39414634146341465,0.08273381294964029,0.1785334750265675,0.23703703703703705,0.23211446740858505,0.040983606557377046,0.11799410029498525,0.14726840855106887,0.3080357142857143,0.012903225806451613,0.13970588235294118,0.2605042016806723,0.14942528735632185,0.020833333333333332,0.109375,0.0,0.08,0.0,0.12121212121212122,0.0,0.0,0.0,0.0,0.0,0.0
2,0.962080173347779,0.47794117647058826,0.37551020408163266,0.46261682242990654,0.4322289156626506,0.1932367149758454,0.20658682634730538,0.3483606557377049,0.27184466019417475,0.3235294117647059,0.12727272727272726,0.155,0.34545454545454546,0.07446808510638298,0.16818181818181818,0.25149700598802394,0.15555555555555556,0.07352941176470588,0.19090909090909092,0.0297029702970297,0.125,0.03937007874015748,0.037037037037037035,0.0,0.2,0.0,0.0,0.0,0.0,0.8481375358166189,0.15204678362573099,0.45695364238410596,0.34256055363321797,0.5435606060606061,0.10025062656641603,0.1885245901639344,0.2724358974358974,0.5,0.22916666666666666,0.15217391304347827,0.2767857142857143,0.7835051546391752,0.07,0.4065934065934066,0.5,0.49295774647887325,0.07462686567164178,0.5121951219512195,0.125,0.2222222222222222,0.20833333333333334,0.058823529411764705,0.0,0.125,0.0,0.0,0.0,0.0,0.9015228426395939,0.23070097604259096,0.4122479462285287,0.39363817097415504,0.4815436241610738,0.132013201320132,0.19714285714285715,0.3057553956834532,0.3522012578616352,0.2682926829268293,0.13861386138613863,0.1987179487179487,0.4794952681388013,0.07216494845360824,0.2379421221864952,0.3346613545816733,0.23648648648648649,0.07407407407407407,0.2781456953642384,0.048,0.16,0.06622516556291391,0.045454545454545456,0.0,0.15384615384615385,0.0,0.0,0.0,0.0
3,0.9751978891820581,0.5604395604395604,0.43283582089552236,0.6028169014084507,0.4789579158316633,0.2376237623762376,0.24497991967871485,0.4306569343065693,0.3179190751445087,0.24829931972789115,0.182648401826484,0.2654320987654321,0.3813953488372093,0.14285714285714285,0.14754098360655737,0.33125,0.19047619047619047,0.07488986784140969,0.19696969696969696,0.024096385542168676,0.18181818181818182,0.02830188679245283,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.8825214899713467,0.17894736842105263,0.48013245033112584,0.370242214532872,0.45265151515151514,0.18045112781954886,0.16666666666666666,0.3782051282051282,0.49107142857142855,0.5069444444444444,0.2898550724637681,0.38392857142857145,0.845360824742268,0.13,0.2967032967032967,0.6309523809523809,0.5633802816901409,0.2537313432835821,0.6341463414634146,0.08333333333333333,0.2962962962962963,0.125,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.9265480070193031,0.2712765957446808,0.4552590266875981,0.4587352625937835,0.46543330087633883,0.20512820512820512,0.1983739837398374,0.40273037542662116,0.38596491228070173,0.3333333333333333,0.22408963585434175,0.31386861313868614,0.5256410256410257,0.13612565445026178,0.19708029197080293,0.4344262295081967,0.2846975088967972,0.11564625850340136,0.30057803468208094,0.037383177570093455,0.22535211267605634,0.046153846153846156,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0
4,0.966890843248836,0.5912698412698413,0.46259541984732827,0.6205962059620597,0.49644128113879005,0.3157894736842105,0.2545454545454545,0.4817813765182186,0.3439306358381503,0.2552552552552553,0.15816326530612246,0.31216931216931215,0.44692737430167595,0.16666666666666666,0.1875,0.3422818791946309,0.23834196891191708,0.058823529411764705,0.17391304347826086,0.010416666666666666,0.1388888888888889,0.05,0.03278688524590164,0.0,0.2,0.0,0.0,0.0,0.0,0.8925501432664756,0.1742690058479532,0.5016556291390728,0.3961937716262976,0.5284090909090909,0.2556390977443609,0.1912568306010929,0.3814102564102564,0.53125,0.5902777777777778,0.2246376811594203,0.5267857142857143,0.8247422680412371,0.2,0.3956043956043956,0.6071428571428571,0.647887323943662,0.08955223880597014,0.3902439024390244,0.041666666666666664,0.37037037037037035,0.16666666666666666,0.11764705882352941,0.0,0.125,0.0,0.0,0.0,0.0,0.9282344176806556,0.26919602529358627,0.4813343923749007,0.4836325237592397,0.5119266055045871,0.28254847645429365,0.21840873634945399,0.4257602862254025,0.41754385964912283,0.35639412997903563,0.18562874251497005,0.3920265780730897,0.5797101449275363,0.18181818181818182,0.254416961130742,0.43776824034334766,0.3484848484848485,0.07100591715976332,0.24060150375939848,0.016666666666666666,0.20202020202020202,0.07692307692307693,0.05128205128205128,0.0,0.15384615384615385,0.0,0.0,0.0,0.0
5,0.9745982374287195,0.6141479099678456,0.45384615384615384,0.616,0.4852941176470588,0.3026315789473684,0.2363013698630137,0.5088495575221239,0.3467741935483871,0.2992957746478873,0.2215568862275449,0.2583732057416268,0.48214285714285715,0.17054263565891473,0.22758620689655173,0.40559440559440557,0.2716049382716049,0.0958904109589041,0.16058394160583941,0.0392156862745098,0.2,0.07,0.16,0.08,0.09090909090909091,0.0,0.0,0.0,0.0,0.897803247373448,0.22339181286549709,0.48841059602649006,0.39965397923875434,0.5,0.23057644110275688,0.1885245901639344,0.3685897435897436,0.5758928571428571,0.5902777777777778,0.26811594202898553,0.48214285714285715,0.8350515463917526,0.22,0.3626373626373626,0.6904761904761905,0.6197183098591549,0.208955223880597,0.5365853658536586,0.16666666666666666,0.48148148148148145,0.2916666666666667,0.23529411764705882,0.2,0.125,0.0,0.0,0.0,0.0,0.9346259010688541,0.3276157804459691,0.4704944178628389,0.48478488982161594,0.4925373134328358,0.26173541963015645,0.20972644376899696,0.4275092936802974,0.43288590604026844,0.397196261682243,0.24262295081967214,0.3364485981308411,0.6113207547169811,0.19213973799126638,0.2796610169491525,0.5110132158590308,0.3776824034334764,0.13145539906103287,0.24719101123595505,0.06349206349206349,0.2826086956521739,0.11290322580645161,0.19047619047619047,0.11428571428571428,0.10526315789473684,0.0,0.0,0.0,0.0
6,0.9725246241575947,0.5910652920962199,0.45997088791848617,0.6504629629629629,0.5320088300220751,0.3343949044585987,0.25,0.4532871972318339,0.39344262295081966,0.29375,0.2233502538071066,0.26519337016574585,0.5266272189349113,0.2,0.2546583850931677,0.46774193548387094,0.2303370786516854,0.10404624277456648,0.21929824561403508,0.044642857142857144,0.23076923076923078,0.04395604395604396,0.05555555555555555,0.16666666666666666,0.06666666666666667,0.0,0.0,0.0,0.0,0.8958930276981852,0.20116959064327486,0.5231788079470199,0.486159169550173,0.4564393939393939,0.2631578947368421,0.15846994535519127,0.4198717948717949,0.5357142857142857,0.6527777777777778,0.3188405797101449,0.42857142857142855,0.9175257731958762,0.33,0.45054945054945056,0.6904761904761905,0.5774647887323944,0.26865671641791045,0.6097560975609756,0.20833333333333334,0.5555555555555556,0.16666666666666666,0.058823529411764705,0.1,0.125,0.0,0.0,0.0,0.0,0.9326373353218991,0.30017452006980805,0.4895429899302866,0.5564356435643565,0.49133537206931704,0.29453015427769985,0.1939799331103679,0.43594009983361065,0.45368620037807184,0.4051724137931034,0.2626865671641791,0.32764505119453924,0.6691729323308271,0.2490566037735849,0.3253968253968254,0.5576923076923077,0.3293172690763052,0.15,0.3225806451612903,0.07352941176470588,0.32608695652173914,0.06956521739130435,0.05714285714285714,0.125,0.08695652173913043,0.0,0.0,0.0,0.0
7,0.9757255936675462,0.6126984126984127,0.4990791896869245,0.6355748373101953,0.5473684210526316,0.3448275862068966,0.23509933774834438,0.4631578947368421,0.47985347985347987,0.27796610169491526,0.2919254658385093,0.28342245989304815,0.6296296296296297,0.1566265060240964,0.27450980392156865,0.39473684210526316,0.26582278481012656,0.1329479768786127,0.18796992481203006,0.024844720496894408,0.15873015873015872,0.06611570247933884,0.0,0.038461538461538464,0.14285714285714285,0.0,0.0,0.0,0.0,0.8829990448901623,0.22573099415204678,0.44867549668874174,0.5069204152249135,0.49242424242424243,0.3007518796992481,0.19398907103825136,0.4230769230769231,0.5848214285714286,0.5694444444444444,0.34057971014492755,0.4732142857142857,0.8762886597938144,0.26,0.46153846153846156,0.7142857142857143,0.5915492957746479,0.34328358208955223,0.6097560975609756,0.16666666666666666,0.37037037037037035,0.3333333333333333,0.0,0.1,0.375,0.0,0.0,0.0,0.0,0.9270493858109802,0.3299145299145299,0.47253705318221445,0.5640038498556305,0.518444666001994,0.321285140562249,0.2125748502994012,0.44221105527638194,0.5271629778672032,0.3735763097949886,0.31438127090301005,0.35451505016722407,0.7327586206896551,0.19548872180451127,0.3442622950819672,0.5084745762711864,0.36681222707423583,0.19166666666666668,0.28735632183908044,0.043243243243243246,0.2222222222222222,0.1103448275862069,0.0,0.05555555555555555,0.20689655172413793,0.0,0.0,0.0,0.0
8,0.9784250269687162,0.6984126984126984,0.48336252189141854,0.6541176470588236,0.5231660231660231,0.3624161073825503,0.2881844380403458,0.47808764940239046,0.46504559270516715,0.2910958904109589,0.2602739726027397,0.28717948717948716,0.6014492753623188,0.192090395480226,0.3793103448275862,0.5619047619047619,0.3037974683544304,0.1476510067114094,0.21818181818181817,0.028409090909090908,0.2,0.08849557522123894,0.06451612903225806,0.06896551724137931,0.15,0.0,0.0,0.0,0.0,0.8662846227316141,0.2573099415204678,0.45695364238410596,0.4809688581314879,0.5132575757575758,0.2706766917293233,0.273224043715847,0.38461538461538464,0.6830357142857143,0.5902777777777778,0.41304347826086957,0.5,0.8556701030927835,0.34,0.4835164835164835,0.7023809523809523,0.676056338028169,0.3283582089552239,0.5853658536585366,0.20833333333333334,0.5925925925925926,0.4166666666666667,0.11764705882352941,0.2,0.375,0.0,0.0,0.0,0.0,0.9189463019250254,0.37606837606837606,0.4697872340425532,0.5543369890329013,0.5181644359464627,0.3098995695839311,0.2805049088359046,0.42628774422735344,0.5533453887884268,0.38990825688073394,0.31932773109243695,0.36482084690553745,0.7063829787234043,0.24548736462093862,0.4251207729468599,0.6243386243386243,0.4192139737991266,0.2037037037037037,0.31788079470198677,0.05,0.29906542056074764,0.145985401459854,0.08333333333333333,0.10256410256410256,0.21428571428571427,0.0,0.0,0.0,0.0
9,0.9773326304691619,0.68,0.4779050736497545,0.7131782945736435,0.5589430894308943,0.37393767705382436,0.30422535211267604,0.4657039711191336,0.47796610169491527,0.31756756756756754,0.3137254901960784,0.2613065326633166,0.6099290780141844,0.13872832369942195,0.36923076923076925,0.5363636363636364,0.29333333333333333,0.1329479768786127,0.1794871794871795,0.0472972972972973,0.17142857142857143,0.0989010989010989,0.045454545454545456,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.8853868194842407,0.23859649122807017,0.48344370860927155,0.47750865051903113,0.5208333333333334,0.3308270676691729,0.29508196721311475,0.41346153846153844,0.6294642857142857,0.6527777777777778,0.463768115942029,0.4642857142857143,0.8865979381443299,0.24,0.5274725274725275,0.7023809523809523,0.6197183098591549,0.34328358208955223,0.5121951219512195,0.2916666666666667,0.4444444444444444,0.375,0.058823529411764705,0.0,0.25,0.0,0.0,0.0,0.0,0.929090453520421,0.35324675324675325,0.4806584362139918,0.572020725388601,0.5392156862745098,0.35106382978723405,0.29958391123439665,0.4380305602716469,0.5433526011560693,0.42727272727272725,0.3742690058479532,0.33440514469453375,0.7226890756302521,0.17582417582417584,0.4343891402714932,0.6082474226804123,0.39819004524886875,0.19166666666666668,0.26582278481012656,0.08139534883720931,0.24742268041237114,0.1565217391304348,0.05128205128205128,0.0,0.16,0.0,0.0,0.0,0.0
10,0.9816326530612245,0.7111111111111111,0.5096153846153846,0.6802721088435374,0.5548654244306418,0.42771084337349397,0.3115942028985507,0.4714285714285714,0.5492424242424242,0.29900332225913623,0.30357142857142855,0.3055555555555556,0.6335877862595419,0.2441860465116279,0.39849624060150374,0.5981308411214953,0.32867132867132864,0.18072289156626506,0.23076923076923078,0.07446808510638298,0.22666666666666666,0.12745098039215685,0.05555555555555555,0.0,0.15,0.0,0.0,0.0,0.0,0.9188156638013372,0.2994152046783626,0.5264900662251656,0.5190311418685121,0.5075757575757576,0.3558897243107769,0.23497267759562843,0.4230769230769231,0.6473214285714286,0.625,0.4927536231884058,0.49107142857142855,0.8556701030927835,0.42,0.5824175824175825,0.7619047619047619,0.6619718309859155,0.44776119402985076,0.5853658536585366,0.2916666666666667,0.6296296296296297,0.5416666666666666,0.058823529411764705,0.0,0.375,0.0,0.0,0.0,0.0,0.949185989146522,0.4213991769547325,0.5179153094462541,0.5888125613346418,0.5301681503461919,0.38850889192886456,0.26791277258566976,0.44594594594594594,0.5942622950819673,0.4044943820224719,0.3756906077348066,0.3767123287671233,0.7280701754385965,0.3088235294117647,0.4732142857142857,0.6701570680628273,0.4392523364485981,0.2575107296137339,0.3310344827586207,0.11864406779661017,0.3333333333333333,0.20634920634920634,0.05714285714285714,0.0,0.21428571428571427,0.0,0.0,0.0,0.0
